video_id,video_title,channel_id,channel_title,video_published_at,reply_id,reply_parent_comment_id,reply_author_display,reply_author_channel_id,reply_text,reply_lang,reply_published_utc,reply_published_local,reply_like_count
ARU2WHyOPxE,The Rip | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-10T12:00:04Z,Ugx2iBXvnaijIevU7OB4AaABAg.AN-Orw65_V_AN0FtIvLWT4,Ugx2iBXvnaijIevU7OB4AaABAg,@Eorjfnajsk,UCeJqC9B_FpBKJXtiWVehvOw,No one cares about that dumb bih,en,2025-09-13T12:48:00Z,2025-09-13 08:48:00,0
ARU2WHyOPxE,The Rip | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-10T12:00:04Z,UgzG9zsIX-0M5Sr-1B94AaABAg.AN-D-u3fezvAN4Ha6NXeQu,UgzG9zsIX-0M5Sr-1B94AaABAg,@BenAffleck-j1p,UCtmeMeREE1Tfima75J9JIwQ,"Hey fan, can we talk on my private account",en,2025-09-15T02:19:49Z,2025-09-14 22:19:49,0
ARU2WHyOPxE,The Rip | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-10T12:00:04Z,Ugx9GflYfmHrLVFUboR4AaABAg.AMzzGIKf7goAN4HzbLRzef,Ugx9GflYfmHrLVFUboR4AaABAg,@BenAffleck-j1p,UCtmeMeREE1Tfima75J9JIwQ,"Hey fan, can we talk on my private account",en,2025-09-15T02:23:18Z,2025-09-14 22:23:18,0
ARU2WHyOPxE,The Rip | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-10T12:00:04Z,UgziA7El1cTWFBYZ1Sl4AaABAg.AMzNWYMKqseANDQPdnX1xs,UgziA7El1cTWFBYZ1Sl4AaABAg,@jokermann01,UCZM16-wXyaaCQADeDDMowBg,Right like why would they even consider not putting this in theaters?,en,2025-09-18T15:30:04Z,2025-09-18 11:30:04,0
ARU2WHyOPxE,The Rip | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-10T12:00:04Z,UgzApPBYhdosulcd1J54AaABAg.AMzJ9S5yNgcANDPThH7WQ5,UgzApPBYhdosulcd1J54AaABAg,@jokermann01,UCZM16-wXyaaCQADeDDMowBg,He has another movie coming out called Not Without Hope which was filmed a couple years ago. That should be another good thriller from him.,en,2025-09-18T15:21:53Z,2025-09-18 11:21:53,1
ARU2WHyOPxE,The Rip | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-10T12:00:04Z,UgwpGq0Gy41AzGypRIF4AaABAg.AMzG9Tc9R73AN5uQaNc9Uk,UgwpGq0Gy41AzGypRIF4AaABAg,@kunalpakal7237,UCokd6bBEH-NkjZK04Ww-1gw,They had been together in good will hunting movie,en,2025-09-15T17:27:09Z,2025-09-15 13:27:09,0
ARU2WHyOPxE,The Rip | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-10T12:00:04Z,UgwpGq0Gy41AzGypRIF4AaABAg.AMzG9Tc9R73ANBKWjTxhCJ,UgwpGq0Gy41AzGypRIF4AaABAg,@NorthofReal,UCv_lZPwREO74dVpVZPd_dEQ,and don't forget the legend Kyle Chandler,en,2025-09-17T20:00:07Z,2025-09-17 16:00:07,4
ARU2WHyOPxE,The Rip | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-10T12:00:04Z,UgwpGq0Gy41AzGypRIF4AaABAg.AMzG9Tc9R73ANNDaIg6Lz2,UgwpGq0Gy41AzGypRIF4AaABAg,@hooman6305,UCL9I0HRzpstv6A1zqm7GX6g,Steven Yuen elite cast ??? jajaja nice joke,NA,2025-09-22T10:50:28Z,2025-09-22 06:50:28,3
ARU2WHyOPxE,The Rip | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-10T12:00:04Z,UgwpGq0Gy41AzGypRIF4AaABAg.AMzG9Tc9R73AOHF3t7-W8H,UgwpGq0Gy41AzGypRIF4AaABAg,@sushijuice6895,UCW6yQMMR0ARuG9HwCP5fQfQ,with Supergirl,en,2025-10-14T23:39:20Z,2025-10-14 19:39:20,0
ARU2WHyOPxE,The Rip | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-10T12:00:04Z,UgwpGq0Gy41AzGypRIF4AaABAg.AMzG9Tc9R73AOnuLJbwd8R,UgwpGq0Gy41AzGypRIF4AaABAg,@joshuarowlands8399,UChWGMVHpawmgL_BtjbyaLIA,@hooman6305he is a great actor,NA,2025-10-28T01:23:39Z,2025-10-27 21:23:39,2
