video_id,video_title,channel_id,channel_title,video_published_at,reply_id,reply_parent_comment_id,reply_author_display,reply_author_channel_id,reply_text,reply_lang,reply_published_utc,reply_published_local,reply_like_count
V0OvkwOJgi4,"Devil May Cry | ""Afterlife"" Official Music Video feat. Evanescence | Netflix",UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-17T16:00:00Z,UgxXDsf4XJx3GYwCrpN4AaABAg.AHYHQSlTrCTAJeXlT5GJBi,UgxXDsf4XJx3GYwCrpN4AaABAg,@loyglecyalbertalmonte8212,UC5aCjBqDrrO6qP30Ua460Sw,hell yeah baby,en,2025-06-22T03:27:30Z,2025-06-21 23:27:30,2
V0OvkwOJgi4,"Devil May Cry | ""Afterlife"" Official Music Video feat. Evanescence | Netflix",UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-17T16:00:00Z,UgxXDsf4XJx3GYwCrpN4AaABAg.AHYHQSlTrCTAJk0JtNf-pV,UgxXDsf4XJx3GYwCrpN4AaABAg,@Cycycham999,UCHdmbpif7xN7ITVaBxqCluw,Art is timeless🎉,NA,2025-06-24T06:30:42Z,2025-06-24 02:30:42,2
V0OvkwOJgi4,"Devil May Cry | ""Afterlife"" Official Music Video feat. Evanescence | Netflix",UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-17T16:00:00Z,UgxXDsf4XJx3GYwCrpN4AaABAg.AHYHQSlTrCTAK6k4Jnr36j,UgxXDsf4XJx3GYwCrpN4AaABAg,@СЛАВАЗСУ-ф7м,UC8qOS_GO_s20ZZrqkneJdAQ,"Полюбив цю пісню, 😍",uk,2025-07-03T11:41:47Z,2025-07-03 07:41:47,1
V0OvkwOJgi4,"Devil May Cry | ""Afterlife"" Official Music Video feat. Evanescence | Netflix",UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-17T16:00:00Z,UgxXDsf4XJx3GYwCrpN4AaABAg.AHYHQSlTrCTAKOdvCk9JoW,UgxXDsf4XJx3GYwCrpN4AaABAg,@Phage-p8h,UCMMEepidvzwY5--tGSaHXKQ,YES. So fkg Amazing! ❤,NA,2025-07-10T10:34:19Z,2025-07-10 06:34:19,0
V0OvkwOJgi4,"Devil May Cry | ""Afterlife"" Official Music Video feat. Evanescence | Netflix",UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-17T16:00:00Z,UgxXDsf4XJx3GYwCrpN4AaABAg.AHYHQSlTrCTAK_soJg2VSn,UgxXDsf4XJx3GYwCrpN4AaABAg,@saika3405,UCo7kIfZTp0HCKegPxJYrmgw,"​@unknown-eo1bjYup, way better than Justin Beiber.",en,2025-07-15T04:35:20Z,2025-07-15 00:35:20,2
V0OvkwOJgi4,"Devil May Cry | ""Afterlife"" Official Music Video feat. Evanescence | Netflix",UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-17T16:00:00Z,UgxXDsf4XJx3GYwCrpN4AaABAg.AHYHQSlTrCTAKbkQEFrcZa,UgxXDsf4XJx3GYwCrpN4AaABAg,@nellyzambrano5948,UCPDXXZOStJiJPvfOMMkRYVA,Yes 🤘,en,2025-07-15T22:00:29Z,2025-07-15 18:00:29,0
V0OvkwOJgi4,"Devil May Cry | ""Afterlife"" Official Music Video feat. Evanescence | Netflix",UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-17T16:00:00Z,UgxXDsf4XJx3GYwCrpN4AaABAg.AHYHQSlTrCTAKeB3WaWCVB,UgxXDsf4XJx3GYwCrpN4AaABAg,@irochristodoulou6505,UCZOHZZaHoZx_T06raljb4-g,​@saika3405 Low bar tbh,NA,2025-07-16T20:40:32Z,2025-07-16 16:40:32,0
V0OvkwOJgi4,"Devil May Cry | ""Afterlife"" Official Music Video feat. Evanescence | Netflix",UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-17T16:00:00Z,UgxXDsf4XJx3GYwCrpN4AaABAg.AHYHQSlTrCTAKj9WS2N7Lt,UgxXDsf4XJx3GYwCrpN4AaABAg,@mpatten5883,UCKp7RiGmPI7q3wJ3Ju0XMVw,And as good as ever. This rocks.,en,2025-07-18T19:03:12Z,2025-07-18 15:03:12,0
V0OvkwOJgi4,"Devil May Cry | ""Afterlife"" Official Music Video feat. Evanescence | Netflix",UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-17T16:00:00Z,UgxXDsf4XJx3GYwCrpN4AaABAg.AHYHQSlTrCTAKx0ENNeJPS,UgxXDsf4XJx3GYwCrpN4AaABAg,@venuswinsays6008,UC1wbMIMk22fKGMwRUCyH4Pg,😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊,ja,2025-07-24T04:11:27Z,2025-07-24 00:11:27,0
V0OvkwOJgi4,"Devil May Cry | ""Afterlife"" Official Music Video feat. Evanescence | Netflix",UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-17T16:00:00Z,UgxXDsf4XJx3GYwCrpN4AaABAg.AHYHQSlTrCTAL6okZDTWCq,UgxXDsf4XJx3GYwCrpN4AaABAg,@daividsonpinheiro29,UCQCU2n2aAHQ7tDk73NuW4aA,"Claro, sempre, para sempre, todos os dias.",gl,2025-07-28T08:54:02Z,2025-07-28 04:54:02,0
