video_id,video_title,channel_id,channel_title,video_published_at,view_count,video_like_count,video_comment_count,comment_id,comment_parent_id,comment_author_display,comment_author_channel_id,comment_text,comment_lang,comment_published_utc,comment_published_local,comment_like_count,comment_reply_count
8cQZlovbS-o,Formula 1: Drive to Survive - Season 7 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-28T16:00:03Z,806026,22186,670,UgyUhUoarXJ5Fat1IPR4AaABAg,NA,@dmass47,UCgKtUUvnxM1ebcZfzfUlAHw,1:25 music name?,NA,2025-06-30T19:44:15Z,2025-06-30 15:44:15,0,0
8cQZlovbS-o,Formula 1: Drive to Survive - Season 7 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-28T16:00:03Z,806026,22186,670,UgzcUpdp9WTG_4zxuW14AaABAg,NA,@gizzyguzzi,UCAjgRVJj51KEkWxZy2NnIeQ,this show.  ruined F1.  Watching a year later you see It's all crap.  Me Too lunatics tried to destroy lives.  Netflix creates controversy.,en,2025-06-16T03:35:44Z,2025-06-15 23:35:44,0,0
8cQZlovbS-o,Formula 1: Drive to Survive - Season 7 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-28T16:00:03Z,806026,22186,670,Ugxhgp5ceSMKh2n0fq54AaABAg,NA,@markduran2141,UCJTn__wIddEWYSk152nHDog,Drive to survive originally got me interested in F1. Now I follow indy car and nascar ( to a certain extent) as well. So thankful for this series.,en,2025-06-16T01:28:19Z,2025-06-15 21:28:19,1,0
8cQZlovbS-o,Formula 1: Drive to Survive - Season 7 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-28T16:00:03Z,806026,22186,670,UgzeIN4UDvmQDc_zZtZ4AaABAg,NA,@evangelinabustos5123,UCjQn3wjfwaWm37OlXtYQwEA,Sainz ❤🌹🇪🇸,bs,2025-05-19T04:15:30Z,2025-05-19 00:15:30,0,0
8cQZlovbS-o,Formula 1: Drive to Survive - Season 7 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-28T16:00:03Z,806026,22186,670,UgzjnEsK89CBOxHHHDZ4AaABAg,NA,@MystriverseHindi,UCvaDgVKBI6IVc6it3Eny0lg,0:55,ja,2025-05-11T12:04:43Z,2025-05-11 08:04:43,0,0
8cQZlovbS-o,Formula 1: Drive to Survive - Season 7 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-28T16:00:03Z,806026,22186,670,UgxP6jYPJwhU_tv87LZ4AaABAg,NA,@VaishaliGadekar-p2i,UCb-HRLMyXkym5NB1hfJ6tqg,0:56 to 0:44,en,2025-05-10T11:04:46Z,2025-05-10 07:04:46,0,1
8cQZlovbS-o,Formula 1: Drive to Survive - Season 7 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-28T16:00:03Z,806026,22186,670,UgyowQV3lqNvmpeGmo94AaABAg,NA,@Guy_fawks,UCdIcVTea5f9wuBCdAYD-m8w,"Do a moto gp documentary
Ride to survive. 
Moto gp is better 👍",en,2025-04-25T20:10:54Z,2025-04-25 16:10:54,1,0
8cQZlovbS-o,Formula 1: Drive to Survive - Season 7 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-28T16:00:03Z,806026,22186,670,Ugyti1JQsFn4SUXofhN4AaABAg,NA,@arturoceo5868,UCt13DK6Jd4eJE06j9-AwIbg,"Tío Netflix, está serie de drive to survive apesta, son tendenciosos y como quisieron pintar mal a Checo Pérez, cuando realmente lo malos resultados fueron por el mal monoplaza de red bull, y ahora el Slowson(Lawson) ya lo bajaron porque no puede manejar ese carro. Netflix, una cosa es querer audiencia, pero que mala producción de drive to survive",es,2025-04-03T15:34:31Z,2025-04-03 11:34:31,0,0
8cQZlovbS-o,Formula 1: Drive to Survive - Season 7 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-28T16:00:03Z,806026,22186,670,UgzLDd_VQOUYM9OZJrZ4AaABAg,NA,@ChristopherDobey,UCW5UEtb3c4vc6azUNDQHLxQ,4K at last. Now HDR please and thank you.,en,2025-04-01T18:26:44Z,2025-04-01 14:26:44,0,0
8cQZlovbS-o,Formula 1: Drive to Survive - Season 7 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-28T16:00:03Z,806026,22186,670,UgyC-ccfKtO-rK-Yo_F4AaABAg,NA,@mayankseth6684,UC97rZgJH2C-NoFBRBbMF9Lg,The last line was Gunther style ❤,en,2025-03-29T17:22:56Z,2025-03-29 13:22:56,3,0
