video_id,video_title,channel_id,channel_title,video_published_at,reply_id,reply_parent_comment_id,reply_author_display,reply_author_channel_id,reply_text,reply_lang,reply_published_utc,reply_published_local,reply_like_count
Lxa8poQYRtc,Wednesday: Season 2 | First 6 Minutes | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T01:44:50Z,UgyEha0Bh25wmDNVD_B4AaABAg.AJ6fouK_mBfAJ6t_P4uG9W,UgyEha0Bh25wmDNVD_B4AaABAg,@ARI-x-o-b5b,UC-ERRiECq5819J6E7vtjfLA,Mean 4 episodes will come out on 6 August and other 4 will be on September 3,en,2025-06-08T16:33:25Z,2025-06-08 12:33:25,1
Lxa8poQYRtc,Wednesday: Season 2 | First 6 Minutes | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T01:44:50Z,UgwtkhBQFsVTUoJ72Y54AaABAg.AJ2bqLKf9O6AJ2gNsPsARJ,UgwtkhBQFsVTUoJ72Y54AaABAg,@TheBrokestGod,UCmyHhDUJF3uTWN8J4YMAo_w,This is a teenage show bro,en,2025-06-07T01:21:09Z,2025-06-06 21:21:09,0
Lxa8poQYRtc,Wednesday: Season 2 | First 6 Minutes | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T01:44:50Z,UgwtkhBQFsVTUoJ72Y54AaABAg.AJ2bqLKf9O6AJ3EWYxVN78,UgwtkhBQFsVTUoJ72Y54AaABAg,@chronnuggets580,UCU28meVg5j3x-tjrQuBKccA,@TheBrokestGod Teenager is a child,NA,2025-06-07T06:28:10Z,2025-06-07 02:28:10,0
Lxa8poQYRtc,Wednesday: Season 2 | First 6 Minutes | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T01:44:50Z,UgwtkhBQFsVTUoJ72Y54AaABAg.AJ2bqLKf9O6AJ3HOcYCVYC,UgwtkhBQFsVTUoJ72Y54AaABAg,@TheBrokestGod,UCmyHhDUJF3uTWN8J4YMAo_w,​@chronnuggets580either way it's fiction and should be treated as such,en,2025-06-07T06:53:18Z,2025-06-07 02:53:18,0
Lxa8poQYRtc,Wednesday: Season 2 | First 6 Minutes | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T01:44:50Z,Ugxt0pWpgio0cInmKX94AaABAg.AJ2Lk5VcQS-AJ2gR6SGD_Y,Ugxt0pWpgio0cInmKX94AaABAg,@TheBrokestGod,UCmyHhDUJF3uTWN8J4YMAo_w,Fym bro,NA,2025-06-07T01:21:35Z,2025-06-06 21:21:35,0
Lxa8poQYRtc,Wednesday: Season 2 | First 6 Minutes | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T01:44:50Z,UgxR3dbU4zMgJGcAVe14AaABAg.AJ2ACTYL2xUAJ2gVn5yra3,UgxR3dbU4zMgJGcAVe14AaABAg,@TheBrokestGod,UCmyHhDUJF3uTWN8J4YMAo_w,Bro went from ‘I see dead people’ to ‘I cause dead people’,en,2025-06-07T01:22:14Z,2025-06-06 21:22:14,0
Lxa8poQYRtc,Wednesday: Season 2 | First 6 Minutes | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T01:44:50Z,UgxsTFCU9Ufpt8rNNU94AaABAg.AJ1ty_Dked5AJ1zM-B7Fnn,UgxsTFCU9Ufpt8rNNU94AaABAg,@favoureds11,UCN6QgQ2nOnEgsFxTqomwUWQ,its directly from Netflix this is an official Netflix channel,en,2025-06-06T18:47:41Z,2025-06-06 14:47:41,0
Lxa8poQYRtc,Wednesday: Season 2 | First 6 Minutes | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T01:44:50Z,Ugx4TTENgtNrvNOaWkF4AaABAg.AJ1Q3k21KxsALIQWBx_RO9,Ugx4TTENgtNrvNOaWkF4AaABAg,@Lillireify,UCxRvz8pMH79mkgtxcN5WvOA,Why did I have to scroll so long to find a comment praising him?!,en,2025-08-01T21:04:23Z,2025-08-01 17:04:23,5
Lxa8poQYRtc,Wednesday: Season 2 | First 6 Minutes | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T01:44:50Z,Ugxkid0UCmL4MTf7rn14AaABAg.AJ0Tdihdt-SAJ2gdOrLUih,Ugxkid0UCmL4MTf7rn14AaABAg,@TheBrokestGod,UCmyHhDUJF3uTWN8J4YMAo_w,Hater cornball,NA,2025-06-07T01:23:24Z,2025-06-06 21:23:24,0
Lxa8poQYRtc,Wednesday: Season 2 | First 6 Minutes | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T01:44:50Z,Ugx1X6kYyLc4Qr4ziSd4AaABAg.AJ-6_Gf8PkBAJ2gkaZUd1x,Ugx1X6kYyLc4Qr4ziSd4AaABAg,@TheBrokestGod,UCmyHhDUJF3uTWN8J4YMAo_w,Ba dum tsss,NA,2025-06-07T01:24:23Z,2025-06-06 21:24:23,0
Lxa8poQYRtc,Wednesday: Season 2 | First 6 Minutes | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T01:44:50Z,UgzEapbLqLTAZ9fulX54AaABAg.AJ-12ZCX4VOAJ-2aRVmO4M,UgzEapbLqLTAZ9fulX54AaABAg,@kiplen,UCTg-n9r0p3FNaDcTE5egeXA,nevermind they are naked wolfe snatch double black and they are $280 :<(,en,2025-06-05T15:27:01Z,2025-06-05 11:27:01,0
Lxa8poQYRtc,Wednesday: Season 2 | First 6 Minutes | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T01:44:50Z,Ugxm9v7F169qV81Hl9p4AaABAg.AIz41Yq4kqIAJ-JL2E2vmN,Ugxm9v7F169qV81Hl9p4AaABAg,@Stosh126,UCnHYBbTDOALQ1eJUIBhUuxg,It's a joke that it's over the travel size limit,en,2025-06-05T17:53:20Z,2025-06-05 13:53:20,0
Lxa8poQYRtc,Wednesday: Season 2 | First 6 Minutes | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T01:44:50Z,Ugz1tApMoAXhHWPt5Jt4AaABAg.AIz3B1h-XLhAJ2gvcjTfPY,Ugz1tApMoAXhHWPt5Jt4AaABAg,@TheBrokestGod,UCmyHhDUJF3uTWN8J4YMAo_w,Why? She’s a good actor,en,2025-06-07T01:25:54Z,2025-06-06 21:25:54,0
Lxa8poQYRtc,Wednesday: Season 2 | First 6 Minutes | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T01:44:50Z,UgyQFiRilv2evheOLel4AaABAg.AIz0vSDvQstAJ2gyuA5InX,UgyQFiRilv2evheOLel4AaABAg,@TheBrokestGod,UCmyHhDUJF3uTWN8J4YMAo_w,"Yea but it is good, not as good as ppl make it out to be, but it’s still good television",en,2025-06-07T01:26:20Z,2025-06-06 21:26:20,0
Lxa8poQYRtc,Wednesday: Season 2 | First 6 Minutes | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T01:44:50Z,Ugy58urYOx57LEv024R4AaABAg.AIyyTEI5nn8AIyyzLBceMd,Ugy58urYOx57LEv024R4AaABAg,@calmyourkittens,UCSBv2hPbwkSwHEYH9IIOqSQ,There's no problem burning candles & meditating & even doing magic but it's that they make it seem like she's reading witchcraft books & doing spells like she's doing something wrong or making it seem like it's okay to do someone wrong if it's for a good cause bc it's never a good cause. Magic doesn't Jenna's magic doesn't work that way. Just explaining that they're doing culture fraud to Jenna (ÇLaire Lightning 🌩️),en,2025-06-05T05:27:29Z,2025-06-05 01:27:29,0
Lxa8poQYRtc,Wednesday: Season 2 | First 6 Minutes | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T01:44:50Z,UgyYhPZfPYV9lVGm2nB4AaABAg.AIy_xGwh_pxALaxXFp5kgn,UgyYhPZfPYV9lVGm2nB4AaABAg,@rafaelarcas942,UCRn8oW9wIitvr6xBVIoVaQw,I KNEW I recognised him !,NA,2025-08-09T11:07:11Z,2025-08-09 07:07:11,0
Lxa8poQYRtc,Wednesday: Season 2 | First 6 Minutes | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T01:44:50Z,UgysdQm7aIF6nElAx3J4AaABAg.AIxTfbqb_yhALP3491HKV6,UgysdQm7aIF6nElAx3J4AaABAg,@captainbeaky,UCv_WVaet2rXpEaTX5_iyS9g,Also loving the recreation of /homage to the medlab scene from ‘Aliens’ 😂,en,2025-08-04T10:54:15Z,2025-08-04 06:54:15,2
